Linha;CdPjOID;
101-0;2597;
102-0;2598;
103-0;2599;
104-0;2600;
105-0;2601;
106-0;2602;
107-0;2603;
108-0;2604;
109-0;2240;
110-0;2605;
111-0;2606;
112-0;2607;
113-0;2608;
115-0;1694;
116-0;2745;
116-1;2746;
116-2;2747;
117-0;2748;
117-1;2750;
118-0;2754;
119-0;2241;
120-0;2755;
120-1;2756;
121-0;2818;
121-1;2820;
122-0;2855;
123-0;2584;
125-0;2870;
126-0;2379;
126-1;2380;
126-2;2381;
127-0;2382;
127-1;2383;
128-0;1396;
130-0;2263;
131-0;2762;
132-0;669;
133-0;2551;
134-0;2556;
135-0;2844;
136-0;2852;
140-0;2080;
141-0;2609;
142-0;2610;
150-0;2243;
152-0;2035;
153-0;2472;
154-0;2763;
161-0;1690;
162-0;2300;
163-0;2320;
164-0;2764;
171-0;2822;
173-0;2590;
179-0;2302;
180-0;2611;
190-0;2768;
191-0;2304;
191-1;2857;
192-0;2553;
193-0;2307;
194-0;2308;
195-0;2309;
196-0;193;
197-0;2554;
198-0;1971;
199-0;55;
200-0;2621;
201-0;2244;
201-1;2245;
202-0;2246;
203-0;2813;
203-1;2783;
204-0;2384;
205-0;2583;
206-0;2622;
207-0;2248;
208-0;2319;
209-0;2191;
209-1;2192;
210-0;2784;
210-1;2799;
211-0;2800;
212-0;2801;
212-1;2802;
213-0;2814;
213-1;2815;
214-0;2803;
214-1;2816;
215-0;2623;
216-0;2588;
217-0;2804;
220-0;2806;
221-0;2807;
222-0;2866;
223-0;2808;
224-0;2868;
228-0;2632;
229-0;2809;
230-0;2810;
231-0;2811;
239-0;1970;
240-0;2635;
241-0;698;
242-0;2631;
244-0;2849;
244-1;2851;
249-0;2812;
250-0;2732;
250-1;2733;
252-0;2645;
252-1;2647;
252-2;2858;
252-3;2860;
253-0;2734;
253-1;2735;
254-0;2251;
255-0;1768;
260-0;2864;
260-1;2865;
261-0;2618;
263-0;2730;
263-1;2731;
264-0;2861;
265-0;2740;
265-1;2767;
266-0;2726;
269-0;2252;
271-0;2817;
271-1;2859;
273-0;2843;
289-0;223;
299-0;1756;
300-0;2585;
307-0;1699;
308-0;2288;
309-0;203;
310-0;2835;
311-0;2620;
312-0;2279;
313-0;2278;
314-0;2159;
316-0;273;
317-0;2738;
317-1;2739;
319-0;2628;
320-0;715;
321-0;734;
321-1;735;
322-0;2785;
322-1;2793;
322-2;2790;
323-0;1294;
323-1;1295;
323-2;1296;
324-0;1993;
324-1;1994;
325-0;2255;
326-0;2256;
327-0;2471;
328-0;2827;
328-1;2828;
329-0;2396;
330-0;2775;
331-0;2652;
332-0;2823;
332-1;2824;
332-2;2856;
333-0;2776;
337-0;1050;
338-0;2614;
339-0;108;
341-0;2646;
342-0;2871;
344-0;1728;
345-0;2773;
346-0;2774;
348-0;2742;
349-0;2787;
350-0;2339;
351-0;2825;
352-0;2258;
353-0;2777;
354-0;2591;
355-0;2826;
357-0;2846;
358-0;2259;
359-0;2819;
360-0;2788;
360-1;2795;
362-0;2850;
363-0;2830;
364-0;1771;
366-0;1363;
367-0;2723;
367-1;412;
368-0;2649;
369-0;2724;
369-1;2725;
371-0;2743;
374-0;2027;
376-0;2166;
377-0;2831;
378-0;600;
380-0;2082;
381-0;2391;
382-0;2615;
383-0;2276;
385-0;2544;
386-0;2845;
389-0;2360;
390-0;2547;
390-1;2363;
391-0;2796;
391-1;2797;
391-2;2805;
392-0;2368;
393-0;2367;
394-0;2376;
394-1;2377;
395-0;2336;
396-0;2369;
397-0;1810;
397-1;1811;
398-0;2370;
398-1;2371;
399-0;2372;
402-0;2836;
402-1;2837;
403-0;2638;
404-0;2769;
405-0;2007;
408-0;2872;
408-1;2873;
410-0;2847;
412-0;2848;
413-0;2770;
414-0;2840;
414-1;2841;
414-2;2842;
416-0;2350;
422-0;2834;
430-0;2564;
431-0;2567;
431-1;2568;
432-0;2569;
432-1;2570;
434-0;2753;
435-0;2566;
489-0;75;
499-0;2744;
502-0;743
